ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSMUSG00000035299.17"	"Mid1"	chrX	+	168709949	168710665	168709949	168710551	168749058	168749154	1	130,90,103	4,1,1	162,154,26	10,7,7	238	124	0.000430057162556	0.016825251056329336	0.944,0.979,0.982	0.894,0.92,0.659	0.144
3	"ENSMUSG00000035299.17"	"Mid1"	chrX	+	168755880	168756391	168755880	168755912	168759917	168760027	3	42,33,17	0,1,0	22,63,129	0,0,0	603	124	1	1.0	1.0,0.872,1.0	1.0,1.0,1.0	-0.043
4	"ENSMUSG00000031381.17"	"Piga"	chrX	+	163205579	163205699	163205579	163205660	163210927	163211060	4	4,6,4	0,0,1	6,4,0	0,4,0	163	124	1	1.0	1.0,1.0,0.753	1.0,0.432,NA	0.202
5	"ENSMUSG00000031381.17"	"Piga"	chrX	+	163205579	163205982	163205579	163205660	163210927	163211060	5	52,60,49	0,0,1	45,49,21	0,4,0	446	124	0.275104894343	0.8970406769265542	1.0,1.0,0.932	1.0,0.773,1.0	0.053
6	"ENSMUSG00000031381.17"	"Piga"	chrX	+	163205579	163206359	163205579	163205660	163210927	163211060	6	159,153,128	0,0,1	92,136,74	0,4,0	823	124	0.425059592738	1.0	1.0,1.0,0.951	1.0,0.837,1.0	0.038
7	"ENSMUSG00000031381.17"	"Piga"	chrX	+	163205579	163206668	163205579	163205660	163210927	163211060	7	143,140,124	0,0,1	83,144,78	0,4,0	1132	124	0.29348623935	0.9247036687649215	1.0,1.0,0.931	1.0,0.798,1.0	0.044
11	"ENSMUSG00000031381.17"	"Piga"	chrX	+	163205579	163206359	163205579	163205982	163210927	163211060	11	109,98,83	2,5,4	47,88,57	0,1,4	501	124	0.226233374441	0.8041699414010258	0.931,0.829,0.837	1.0,0.956,0.779	-0.046
12	"ENSMUSG00000031381.17"	"Piga"	chrX	+	163205579	163206668	163205579	163205982	163210927	163211060	12	93,85,79	2,5,4	38,96,61	0,1,4	810	124	0.172190760934	0.6899571544220887	0.877,0.722,0.751	1.0,0.936,0.7	-0.095
13	"ENSMUSG00000031381.17"	"Piga"	chrX	+	163205579	163206668	163205579	163206359	163210927	163211060	13	15,9,14	31,22,18	4,23,9	13,15,5	433	124	0.114714957014	0.553852016600394	0.122,0.105,0.182	0.081,0.305,0.34	-0.106
15	"ENSMUSG00000025283.16"	"Sat1"	chrX	-	153998115	153998680	153998596	153998680	153997028	153997130	15	39,34,65	101,110,69	16,33,10	46,85,54	605	124	0.0230267451832	0.21739956481785885	0.073,0.06,0.162	0.067,0.074,0.037	0.039
16	"ENSMUSG00000087403.10"	"Kantr"	chrX	-	151110361	151110491	151110405	151110491	151110156	151110235	16	68,45,45	6,4,13	58,50,18	3,8,2	168	124	0.312418551339	0.9581143366571708	0.893,0.893,0.719	0.935,0.822,0.869	-0.04
17	"ENSMUSG00000025332.15"	"Kdm5c"	chrX	+	151054855	151054934	151054855	151054925	151055070	151055270	17	74,86,69	166,203,145	43,38,40	88,109,62	133	124	0.770719574256	1.0	0.294,0.283,0.307	0.313,0.245,0.376	-0.017
18	"ENSMUSG00000025262.9"	"Fam120c"	chrX	+	150250295	150250852	150250295	150250434	150252471	150254838	18	122,145,103	0,0,0	97,172,94	0,1,0	542	124	1	1.0	1.0,1.0,1.0	1.0,0.975,1.0	0.008
19	"ENSMUSG00000041353.13"	"Tmem29"	chrX	-	149241957	149242150	149242067	149242150	149203337	149203437	19	106,144,118	31,40,28	122,166,89	25,38,26	234	124	0.48386894101	1.0	0.644,0.656,0.691	0.721,0.698,0.645	-0.024
20	"ENSMUSG00000041380.14"	"Htr2c"	chrX	+	145952565	145952766	145952565	145952671	145976764	145980273	20	34,26,47	9,2,3	30,31,21	5,5,3	219	124	0.805646788965	1.0	0.681,0.88,0.899	0.773,0.778,0.799	0.037
21	"ENSMUSG00000031285.15"	"Dcx"	chrX	-	142658750	142658888	142658765	142658888	142653605	142653700	21	1258,1383,1002	229,245,212	996,1712,694	195,291,187	139	124	0.442531982468	1.0	0.831,0.834,0.808	0.82,0.84,0.768	0.015
22	"ENSMUSG00000031429.15"	"Psmd10"	chrX	-	139852895	139853062	139852974	139853062	139849177	139850058	22	159,155,110	22,23,26	99,101,88	20,29,11	203	124	0.425412830609	1.0	0.815,0.805,0.721	0.751,0.68,0.83	0.027
23	"ENSMUSG00000031433.16"	"Rbm41"	chrX	-	138895860	138895977	138895921	138895977	138894660	138894853	23	41,46,67	2,2,0	37,66,28	0,1,0	185	124	0.976380698395	1.0	0.932,0.939,1.0	1.0,0.978,1.0	-0.036
25	"ENSMUSG00000072966.12"	"Gprasp2"	chrX	+	134741141	134741257	134741141	134741218	134741367	134741439	25	24,30,28	206,240,206	27,9,19	127,209,176	163	124	0.449841826007	1.0	0.081,0.087,0.094	0.139,0.032,0.076	0.005
26	"ENSMUSG00000072964.15"	"Bhlhb9"	chrX	+	134786601	134786846	134786601	134786836	134787593	134787675	26	8,22,8	123,159,95	8,5,10	95,172,108	134	124	0.0738115136242	0.43079083406124	0.057,0.114,0.072	0.072,0.026,0.079	0.022
29	"ENSMUSG00000067377.13"	"Tspan6"	chrX	-	132797872	132798061	132798019	132798061	132797431	132797506	29	762,920,608	1,0,0	567,888,544	0,0,0	271	124	1	1.0	0.997,1.0,1.0	1.0,1.0,1.0	-0.001
31	"ENSMUSG00000025597.14"	"Klhl4"	chrX	+	113452698	113452885	113452698	113452867	113459049	113459274	31	13,12,10	16,12,20	7,9,8	7,9,8	142	124	0.394512159547	1.0	0.415,0.466,0.304	0.466,0.466,0.466	-0.071
32	"ENSMUSG00000086629.10"	"2810403D21Rik"	chrX	+	107878221	107878610	107878221	107878379	107879871	107879961	32	11,9,11	2,5,2	2,14,7	3,7,5	355	124	0.0964501090848	0.5084751188795387	0.658,0.386,0.658	0.189,0.411,0.328	0.258
34	"ENSMUSG00000056537.12"	"Rlim"	chrX	-	103024668	103024890	103024678	103024890	103022878	103022940	34	39,28,18	34,24,25	14,43,19	24,40,25	134	124	0.44122595939	1.0	0.515,0.519,0.4	0.351,0.499,0.413	0.057
35	"ENSMUSG00000086370.11"	"Ftx"	chrX	-	102656628	102656801	102656649	102656801	102652909	102653022	35	28,38,30	2,4,4	18,35,20	5,0,0	145	124	0.260859551692	0.876583032162118	0.923,0.89,0.865	0.755,1.0,1.0	-0.026
36	"ENSMUSG00000031323.9"	"Dmrtc1a"	chrX	-	101948660	101948727	101948666	101948727	101948355	101948485	36	2,1,0	0,0,2	0,0,3	1,1,0	130	124	0.126346470611	0.5756566295032016	1.0,1.0,0.0	0.0,0.0,1.0	0.333
37	"ENSMUSG00000031311.18"	"Nono"	chrX	+	100488293	100488940	100488293	100488396	100489724	100489834	37	1313,1500,1124	0,0,1	800,1352,800	0,0,3	668	124	1	1.0	1.0,1.0,0.995	1.0,1.0,0.98	0.005
38	"ENSMUSG00000079487.12"	"Med12"	chrX	+	100337030	100337236	100337030	100337227	100337398	100337476	38	50,53,36	45,57,44	29,57,25	34,28,24	133	124	0.285819612456	0.9204988876026693	0.509,0.464,0.433	0.443,0.655,0.493	-0.062
39	"ENSMUSG00000059327.10"	"Eda"	chrX	+	99438624	99438755	99438624	99438749	99439280	99439436	39	1,0,1	3,1,1	0,1,0	4,1,2	130	124	1	1.0	0.241,0.0,0.488	0.0,0.488,0.0	0.08
41	"ENSMUSG00000025656.18"	"Arhgef9"	chrX	-	94209194	94209576	94209198	94209576	94174441	94174621	41	21,23,7	6,9,4	10,17,4	3,4,2	128	124	0.435908041756	1.0	0.772,0.712,0.629	0.764,0.805,0.66	-0.039
42	"ENSMUSG00000004221.17"	"Ikbkg"	chrX	+	73471367	73471508	73471367	73471480	73476410	73476612	42	1,0,0	3,0,2	0,0,2	0,3,1	152	124	1	1.0	0.214,NA,0.0	NA,0.0,0.62	-0.203
43	"ENSMUSG00000031398.14"	"Plxna3"	chrX	+	73377152	73377281	73377152	73377270	73377351	73377452	43	219,267,148	28,15,11	133,245,75	7,15,22	135	124	0.490118176117	1.0	0.878,0.942,0.925	0.946,0.938,0.758	0.034
44	"ENSMUSG00000031398.14"	"Plxna3"	chrX	+	73379375	73379797	73379375	73379472	73379882	73380028	44	470,485,371	1,0,0	262,420,198	0,0,0	449	124	1	1.0	0.992,1.0,1.0	1.0,1.0,1.0	-0.003
45	"ENSMUSG00000015291.11"	"Gdi1"	chrX	+	73351277	73351867	73351277	73351476	73352681	73352781	45	3816,4641,3172	0,0,1	1943,3394,2063	0,0,0	515	124	1	1.0	1.0,1.0,0.999	1.0,1.0,1.0	-0.0
47	"ENSMUSG00000002010.18"	"Idh3g"	chrX	-	72824179	72824636	72824503	72824636	72823818	72823921	47	805,920,627	0,0,0	384,720,408	0,1,0	448	124	1	1.0	1.0,1.0,1.0	1.0,0.995,1.0	0.002
48	"ENSMUSG00000002010.18"	"Idh3g"	chrX	-	72825611	72826322	72826280	72826322	72825282	72825395	48	323,387,339	0,0,2	172,330,154	0,0,0	793	124	1	1.0	1.0,1.0,0.964	1.0,1.0,1.0	-0.012
49	"ENSMUSG00000019558.15"	"Slc6a8"	chrX	+	72723524	72723662	72723524	72723653	72723737	72723840	49	155,151,92	0,2,0	66,131,81	0,2,0	133	124	1	1.0	1.0,0.986,1.0	1.0,0.984,1.0	0.001
50	"ENSMUSG00000019558.15"	"Slc6a8"	chrX	+	72723524	72723677	72723524	72723653	72723737	72723840	50	3,8,9	0,2,0	3,7,1	0,2,0	148	124	1	1.0	1.0,0.77,1.0	1.0,0.746,1.0	0.008
51	"ENSMUSG00000019558.15"	"Slc6a8"	chrX	+	72723524	72723677	72723524	72723662	72723737	72723840	51	0,5,5	152,148,88	0,3,0	63,127,80	139	124	0.26631007218	0.8838286590725732	0.0,0.029,0.048	0.0,0.021,0.0	0.019
55	"ENSMUSG00000057836.13"	"Xlr3a"	chrX	-	72138429	72138688	72138566	72138688	72137788	72137858	55	0,0,2	0,0,0	2,1,4	0,0,2	261	124	1	1.0	NA,NA,1.0	1.0,1.0,0.487	0.171
58	"ENSMUSG00000031189.13"	"Aff2"	chrX	+	68567041	68567174	68567041	68567162	68588014	68588875	58	18,34,26	60,61,47	23,53,38	33,49,20	136	124	0.00163697960959	0.041123774713960955	0.215,0.337,0.335	0.389,0.497,0.634	-0.211
61	"ENSMUSG00000055555.3"	"Ct55"	chrX	+	52729333	52729613	52729333	52729515	52735693	52735826	61	0,2,0	0,0,0	0,0,0	0,0,2	222	124	1	1.0	NA,1.0,NA	NA,NA,0.0	1.0
63	"ENSMUSG00000031109.17"	"Enox2"	chrX	-	48111970	48112078	48112003	48112078	48107659	48107771	63	27,40,26	3,1,2	25,50,18	2,1,0	157	124	0.10728099233	0.535293241522228	0.877,0.969,0.911	0.908,0.975,1.0	-0.042
64	"ENSMUSG00000031109.17"	"Enox2"	chrX	-	48375721	48375781	48375732	48375781	48169493	48169628	64	2,1,3	0,1,1	4,4,0	1,4,3	135	124	0.00166488515091	0.0414642517325775	1.0,0.479,0.734	0.786,0.479,0.0	0.316
65	"ENSMUSG00000031109.17"	"Enox2"	chrX	-	48375721	48375781	48375732	48375781	48257517	48257661	65	10,13,13	0,5,3	11,12,5	7,6,2	135	124	0.0523270906799	0.35908067689841117	1.0,0.705,0.799	0.591,0.648,0.697	0.189
68	"ENSMUSG00000031105.17"	"Slc25a14"	chrX	+	47712838	47713083	47712838	47713074	47714472	47714517	68	24,16,14	10,2,5	9,15,7	4,6,10	133	124	0.115584158021	0.554688758343304	0.691,0.882,0.723	0.677,0.7,0.395	0.175
69	"ENSMUSG00000031105.17"	"Slc25a14"	chrX	+	47712838	47713083	47712838	47713074	47717012	47717060	69	6,3,4	0,0,1	2,8,2	0,0,0	133	124	1	1.0	1.0,1.0,0.789	1.0,1.0,1.0	-0.07
70	"ENSMUSG00000031105.17"	"Slc25a14"	chrX	+	47712838	47713083	47712838	47713074	47718128	47718222	70	19,15,12	9,16,11	15,22,8	8,28,15	133	124	0.382400581987	1.0	0.663,0.466,0.504	0.636,0.423,0.332	0.081
71	"ENSMUSG00000036932.15"	"Aifm1"	chrX	-	47572031	47573512	47573403	47573512	47571598	47571687	71	314,293,266	0,1,0	157,257,138	0,0,0	1496	124	1	1.0	1.0,0.96,1.0	1.0,1.0,1.0	-0.013
72	"ENSMUSG00000031099.17"	"Smarca1"	chrX	-	46975973	46976075	46975988	46976075	46972913	46973080	72	32,29,14	103,136,97	23,35,23	98,133,84	139	124	0.469541460354	1.0	0.217,0.16,0.114	0.173,0.19,0.196	-0.023
73	"ENSMUSG00000037475.16"	"Thoc2"	chrX	-	40902293	40902885	40902826	40902885	40901335	40901371	73	103,129,120	194,235,188	95,94,87	145,226,136	657	124	0.77349168022	1.0	0.091,0.094,0.108	0.11,0.073,0.108	0.001
74	"ENSMUSG00000037475.16"	"Thoc2"	chrX	-	40970781	40970877	40970785	40970877	40968762	40968814	74	3,2,2	79,104,95	0,3,0	60,129,62	128	124	0.773004900645	1.0	0.035,0.018,0.02	0.0,0.022,0.0	0.017
81	"ENSMUSG00000031060.17"	"Rbm10"	chrX	+	20511675	20511836	20511675	20511833	20512007	20512105	81	57,66,52	78,76,58	32,48,45	53,58,25	127	124	0.598165488331	1.0	0.416,0.459,0.467	0.371,0.447,0.637	-0.038
82	"ENSMUSG00000031010.18"	"Usp9x"	chrX	+	13031510	13031771	13031510	13031723	13032870	13032966	82	31,21,45	604,658,529	25,40,27	437,609,317	172	124	0.211110520311	0.7873838071146324	0.036,0.022,0.058	0.04,0.045,0.058	-0.009
83	"ENSMUSG00000031169.14"	"Porcn"	chrX	-	8064444	8065391	8065305	8065391	8064213	8064324	83	486,693,715	99,98,70	159,246,230	61,116,83	985	124	2.07023365117e-09	5.2672390149393e-07	0.382,0.471,0.563	0.247,0.211,0.259	0.233
84	"ENSMUSG00000031167.17"	"Rbm3"	chrX	-	8009485	8009571	8009489	8009571	8008606	8009194	84	329,392,263	572,899,508	208,452,447	492,849,990	128	124	0.479102109638	1.0	0.358,0.297,0.334	0.291,0.34,0.304	0.018
85	"ENSMUSG00000031161.16"	"Hdac6"	chrX	-	7813813	7814128	7813888	7814128	7813363	7813483	85	57,77,39	51,63,58	36,50,37	69,75,54	199	124	0.0187348870516	0.18934657533302726	0.411,0.432,0.295	0.245,0.293,0.299	0.1
86	"ENSMUSG00000031150.14"	"Ccdc120"	chrX	-	7604600	7604762	7604608	7604762	7604470	7604491	86	7,10,5	91,102,48	2,5,4	46,86,79	132	124	0.0888337806107	0.48346586457705254	0.067,0.084,0.089	0.039,0.052,0.045	0.035
87	"ENSMUSG00000031150.14"	"Ccdc120"	chrX	-	7604600	7604762	7604608	7604762	7604481	7604517	87	4,4,3	0,1,1	1,4,2	0,2,0	132	124	1	1.0	1.0,0.79,0.738	1.0,0.653,1.0	-0.042
91	"ENSMUSG00000039382.13"	"Wdr45"	chrX	+	7592436	7592555	7592436	7592531	7592924	7593004	91	2,3,3	87,79,53	1,3,1	59,97,59	148	124	0.293232505391	0.9247036687649215	0.019,0.031,0.045	0.014,0.025,0.014	0.014
92	"ENSMUSG00000031148.15"	"Gpkow"	chrX	+	7571538	7571671	7571538	7571611	7572249	7572388	92	175,221,177	0,0,0	124,186,137	0,0,2	184	124	1	1.0	1.0,1.0,1.0	1.0,1.0,0.979	0.007
94	"ENSMUSG00000057858.9"	"Fam204a"	chr19	-	60214663	60215129	60215075	60215129	60201104	60201194	94	150,163,132	0,0,0	123,204,64	0,0,1	536	124	1	1.0	1.0,1.0,1.0	1.0,1.0,0.937	0.021
95	"ENSMUSG00000057858.9"	"Fam204a"	chr19	-	60214663	60215129	60215075	60215129	60209485	60209736	95	166,182,164	11,12,7	134,230,76	7,6,42	536	124	0.345334535559	0.995958646121533	0.777,0.778,0.844	0.816,0.899,0.295	0.13
97	"ENSMUSG00000024979.14"	"Tectb"	chr19	+	55180995	55181341	55180995	55181068	55182271	55182304	97	0,0,0	1,0,0	0,2,0	0,0,0	397	124	1	1.0	0.0,NA,NA	NA,1.0,NA	-1.0
99	"ENSMUSG00000025068.9"	"Gsto1"	chr19	+	47847870	47847994	47847870	47847969	47851817	47851921	99	16,3,4	241,240,163	3,8,13	161,277,229	149	124	0.898027486473	1.0	0.052,0.01,0.02	0.015,0.023,0.045	-0.0
100	"ENSMUSG00000047731.18"	"Wbp1l"	chr19	+	46632791	46633006	46632791	46632894	46640912	46641074	100	57,61,23	79,98,58	23,61,19	52,88,76	236	124	0.205734339135	0.7759353861109857	0.275,0.246,0.172	0.189,0.267,0.116	0.04
101	"ENSMUSG00000025036.8"	"Sfxn2"	chr19	+	46576373	46578640	46576373	46576449	46578922	46578989	101	384,470,376	0,2,0	228,399,313	0,0,0	2315	124	1	1.0	1.0,0.926,1.0	1.0,1.0,1.0	-0.025
102	"ENSMUSG00000025224.17"	"Gbf1"	chr19	+	46268976	46269182	46268976	46269170	46271473	46271624	102	78,96,45	135,131,89	52,81,58	82,130,62	136	124	0.384927938945	1.0	0.345,0.401,0.316	0.366,0.362,0.46	-0.042
106	"ENSMUSG00000025217.16"	"Btrc"	chr19	+	45352525	45352713	45352525	45352581	45411571	45411679	106	6,9,6	0,0,0	1,5,2	0,0,1	256	124	1	1.0	1.0,1.0,1.0	1.0,1.0,0.492	0.169
107	"ENSMUSG00000031154.16"	"Otud5"	chrX	+	7733905	7734077	7733905	7734062	7734161	7734310	107	15,9,1	242,270,190	4,6,5	149,284,197	139	124	0.202397769676	0.7683668286385862	0.052,0.029,0.005	0.023,0.018,0.022	0.008
109	"ENSMUSG00000036097.10"	"Slf2"	chr19	+	44929897	44931378	44929897	44930865	44931887	44931958	109	346,467,326	59,63,78	241,339,168	84,99,47	637	124	0.000638012246329	0.023040217245556015	0.533,0.591,0.449	0.358,0.4,0.41	0.135
110	"ENSMUSG00000025200.8"	"Cwf19l1"	chr19	-	44115804	44115923	44115855	44115923	44113246	44113331	110	63,76,70	2,2,0	40,90,49	1,1,2	175	124	0.945444778101	1.0	0.957,0.964,1.0	0.966,0.985,0.946	0.008
111	"ENSMUSG00000025199.17"	"Chuk"	chr19	-	44065684	44065818	44065701	44065818	44063869	44063969	111	108,211,106	18,21,16	111,132,87	15,22,6	141	124	0.952551332534	1.0	0.841,0.898,0.854	0.867,0.841,0.927	-0.014
